Date,Emission M14,Land Surface Temperature Day,Land Surface Temp Night
2023-10-05,0.49,0.0,298.4
2023-10-06,0.49,0.0,0.0
2023-10-07,0.49,0.0,0.0
2023-10-08,0.49,0.0,0.0
2023-10-09,0.49,0.0,0.0
2023-10-10,0.49,0.0,0.0
2023-10-11,0.49,0.0,0.0
2023-10-12,0.976,306.62,0.0
2023-10-13,0.984,307.3,294.72
2023-10-14,0.49,0.0,0.0
2023-10-15,0.49,0.0,0.0
2023-10-16,0.49,0.0,0.0
2023-10-17,0.98,300.74,287.38
2023-10-18,0.976,304.06,289.12
2023-10-19,0.964,309.94,0.0
2023-10-20,0.98,309.68,0.0
2023-10-21,0.978,308.2,289.96
2023-10-22,0.968,307.46,0.0
2023-10-23,0.49,0.0,296.6
2023-10-24,0.97,302.12,298.08
2023-10-25,0.49,0.0,0.0
2023-10-26,0.49,0.0,0.0
2023-10-27,0.952,310.12,299.28
2023-10-28,0.978,307.78,298.1
2023-10-29,0.98,299.92,296.86
2023-10-30,0.49,0.0,0.0
2023-10-31,0.49,0.0,0.0
2023-11-02,0.49,0.0,0.0
2023-11-03,0.49,0.0,0.0
2023-11-04,0.49,0.0,288.74
2023-11-05,0.974,305.02,0.0
2023-11-06,0.978,306.58,290.98
2023-11-07,0.49,0.0,0.0
2023-11-08,0.96,309.18,294.08
2023-11-09,0.49,0.0,0.0
2023-11-10,0.49,0.0,0.0
2023-11-11,0.49,0.0,0.0
2023-11-12,0.49,0.0,0.0
2023-11-13,0.49,0.0,0.0
2023-11-14,0.49,0.0,0.0
2023-11-15,0.49,0.0,0.0
2023-11-16,0.98,300.8,0.0
2023-11-17,0.978,303.88,288.12
2023-11-18,0.976,303.54,291.02
2023-11-19,0.49,0.0,290.3
2023-11-20,0.968,298.9,290.64
2023-11-21,0.49,0.0,0.0
2023-11-22,0.49,0.0,0.0
2023-11-23,0.982,293.88,0.0
2023-11-24,0.49,0.0,283.64
2023-11-25,0.49,0.0,0.0
2023-11-26,0.49,0.0,0.0
2023-11-27,0.49,0.0,0.0
2023-11-28,0.49,0.0,0.0
2023-11-29,0.49,0.0,0.0
2023-11-30,0.982,296.54,0.0
2023-12-01,0.49,0.0,0.0
2023-12-02,0.49,0.0,0.0
2023-12-03,0.49,0.0,0.0
2023-12-04,0.49,0.0,0.0
2023-12-05,0.49,0.0,0.0
2023-12-06,0.49,0.0,0.0
2023-12-07,0.49,0.0,0.0
2023-12-08,0.984,302.0,0.0
2023-12-09,0.978,304.5,288.96
2023-12-10,0.982,293.32,287.82
2023-12-11,0.49,0.0,0.0
2023-12-12,0.49,0.0,0.0
2023-12-13,0.49,0.0,0.0
2023-12-14,0.49,0.0,0.0
2023-12-15,0.49,0.0,289.22
2023-12-16,0.974,295.08,0.0
2023-12-17,0.97,299.84,281.92
2023-12-18,0.974,297.7,284.46
2023-12-19,0.49,0.0,283.02
2023-12-20,0.49,0.0,284.48
2023-12-21,0.49,0.0,0.0
2023-12-22,0.49,0.0,0.0
2023-12-23,0.49,0.0,0.0
2023-12-24,0.984,301.8,0.0
2023-12-25,0.49,0.0,0.0
2023-12-26,0.49,0.0,0.0
2023-12-27,0.978,295.62,0.0
2023-12-28,0.97,295.76,283.46
2023-12-29,0.978,295.42,281.76
2023-12-30,0.98,297.66,281.2
2023-12-31,0.98,295.86,280.34
2024-01-01,0.49,0.0,0.0
2024-01-02,0.49,0.0,0.0
2024-01-03,0.978,295.8,0.0
2024-01-04,0.49,0.0,0.0
2024-01-05,0.98,295.9,0.0
2024-01-06,0.98,296.44,277.68
2024-01-07,0.976,296.22,0.0
2024-01-08,0.978,302.64,290.66
2024-01-09,0.49,0.0,279.86
2024-01-10,0.49,0.0,0.0
2024-01-11,0.49,0.0,0.0
2024-01-12,0.976,295.12,282.22
2024-01-13,0.978,295.96,0.0
2024-01-14,0.978,300.02,283.76
2024-01-15,0.49,0.0,285.4
2024-01-16,0.49,0.0,0.0
2024-01-17,0.49,0.0,271.32
2024-01-18,0.49,0.0,0.0
2024-01-19,0.49,0.0,0.0
2024-01-20,0.49,0.0,0.0
2024-01-21,0.49,0.0,0.0
2024-01-22,0.49,0.0,0.0
2024-01-23,0.49,0.0,0.0
2024-01-24,0.49,0.0,0.0
2024-01-25,0.49,0.0,0.0
2024-01-26,0.98,300.48,0.0
2024-01-27,0.966,301.14,0.0
2024-01-28,0.978,297.64,281.68
2024-01-29,0.49,0.0,280.78
2024-01-30,0.49,0.0,0.0
2024-01-31,0.49,0.0,0.0
2024-02-01,0.49,0.0,0.0
2024-02-02,0.966,306.56,289.3
2024-02-03,0.97,306.48,290.62
2024-02-04,0.978,306.94,286.18
2024-02-05,0.98,304.58,283.16
2024-02-06,0.982,302.44,281.32
2024-02-07,0.98,300.5,285.82
2024-02-08,0.982,306.2,288.86
2024-02-09,0.974,302.82,283.84
2024-02-10,0.49,0.0,0.0
2024-02-11,0.49,0.0,0.0
2024-02-12,0.49,0.0,283.8
2024-02-13,0.49,0.0,0.0
2024-02-14,0.49,0.0,0.0
2024-02-15,0.49,0.0,0.0
2024-02-16,0.49,0.0,0.0
2024-02-17,0.49,0.0,0.0
2024-02-18,0.964,289.18,0.0
2024-02-19,0.976,301.84,0.0
2024-02-20,0.982,306.32,283.68
2024-02-21,0.98,307.54,289.58
2024-02-22,0.976,300.86,291.7
2024-02-23,0.972,297.88,291.38
2024-02-24,0.49,0.0,284.0
2024-02-25,0.982,312.12,0.0
2024-02-26,0.984,310.54,291.04
2024-02-27,0.49,0.0,293.58
2024-02-28,0.976,303.86,291.04
2024-02-29,0.49,0.0,0.0
2024-03-01,0.966,303.04,0.0
2024-03-02,0.98,308.5,285.1
2024-03-03,0.49,0.0,0.0
2024-03-04,0.49,0.0,0.0
2024-03-05,0.98,308.84,288.5
2024-03-06,0.49,0.0,291.0
2024-03-07,0.49,0.0,0.0
2024-03-08,0.49,0.0,292.68
2024-03-09,0.49,0.0,284.92
2024-03-10,0.49,0.0,0.0
2024-03-11,0.982,303.28,284.7
2024-03-12,0.49,0.0,290.66
2024-03-13,0.98,313.3,0.0
2024-03-14,0.49,0.0,295.54
2024-03-15,0.982,310.64,0.0
2024-03-16,0.49,0.0,0.0
2024-03-17,0.49,0.0,0.0
2024-03-18,0.49,0.0,0.0
2024-03-19,0.49,0.0,0.0
2024-03-20,0.49,0.0,0.0
2024-03-21,0.49,0.0,0.0
2024-03-22,0.962,306.78,290.52
2024-03-23,0.978,307.34,289.2
2024-03-24,0.976,309.2,0.0
2024-03-25,0.97,309.02,0.0
2024-03-26,0.968,306.84,289.48
2024-03-27,0.49,0.0,287.24
2024-03-28,0.978,310.9,287.88
2024-03-29,0.984,310.3,291.3
2024-03-30,0.978,311.58,292.2
2024-03-31,0.978,311.28,295.4
2024-04-01,0.49,0.0,0.0
2024-04-02,0.976,313.76,295.7
2024-04-03,0.978,312.18,287.92
2024-04-04,0.972,310.16,286.0
2024-04-05,0.978,311.82,290.16
2024-04-06,0.974,310.68,0.0
2024-04-07,0.49,0.0,0.0
2024-04-08,0.49,0.0,0.0
2024-04-09,0.49,0.0,0.0
2024-04-10,0.966,312.16,292.0
2024-04-11,0.976,308.2,289.36
2024-04-12,0.49,0.0,290.32
2024-04-13,0.49,0.0,0.0
2024-04-14,0.984,315.96,0.0
2024-04-15,0.49,0.0,297.74
2024-04-16,0.49,0.0,0.0
2024-04-17,0.49,0.0,0.0
2024-04-18,0.49,0.0,295.32
2024-04-19,0.978,318.14,296.28
2024-04-20,0.49,0.0,0.0
2024-04-21,0.49,0.0,0.0
2024-04-22,0.49,0.0,0.0
2024-04-23,0.982,299.7,0.0
2024-04-24,0.49,0.0,0.0
2024-04-25,0.972,308.0,0.0
2024-04-26,0.978,316.16,0.0
2024-04-27,0.974,308.04,297.46
2024-04-28,0.968,297.06,0.0
2024-04-29,0.976,312.3,296.24
2024-04-30,0.49,0.0,0.0
2024-05-01,0.986,309.8,296.88
2024-05-02,0.49,0.0,0.0
2024-05-03,0.49,0.0,0.0
2024-05-04,0.49,0.0,0.0
2024-05-05,0.98,314.58,0.0
2024-05-06,0.49,0.0,0.0
2024-05-07,0.49,0.0,0.0
2024-05-08,0.49,0.0,0.0
2024-05-09,0.49,0.0,0.0
2024-05-10,0.49,0.0,0.0
2024-05-11,0.49,0.0,0.0
2024-05-12,0.49,0.0,0.0
2024-05-13,0.984,313.7,295.7358925800036
2024-05-14,0.49,0.0,0.0
2024-05-15,0.982,318.62,0.0
2024-05-16,0.982,322.82,0.0
2024-05-17,0.49,0.0,0.0
2024-05-18,0.954,318.06,295.4544621515758
2024-05-19,0.98,313.12,299.4599451487764
2024-05-20,0.984,322.42,0.0
2024-05-21,0.982,324.5,300.7677189891557
2024-05-22,0.952,323.36,301.8781616701864
2024-05-23,0.982,317.3,293.9788748663506
2024-05-24,0.972,316.74,297.00260452998344
2024-05-25,0.95,323.58,0.0
2024-05-26,0.49,0.0,0.0
2024-05-27,0.49,0.0,0.0
2024-05-28,0.986,317.14,0.0
2024-05-29,0.978,306.98,0.0
2024-06-04,0.49,0.0,0.0
2024-06-05,0.962,318.44,0.0
2024-06-06,0.98,316.58,0.0
2024-06-07,0.98,315.88,0.0
2024-06-08,0.978,309.64,0.0
2024-06-09,0.956,315.34,0.0
2024-06-10,0.49,0.0,294.4725606102579
2024-06-11,0.984,322.22,0.0
2024-06-12,0.98,319.98,0.0
2024-06-13,0.98,319.7,0.0
2024-06-14,0.98,316.44,0.0
2024-06-15,0.976,319.92,0.0
2024-06-16,0.976,323.04,0.0
2024-06-17,0.978,325.86,0.0
2024-06-18,0.98,315.1,294.60060983192557
2024-06-19,0.49,0.0,0.0
2024-06-20,0.49,0.0,0.0
2024-06-21,0.49,0.0,0.0
2024-06-22,0.49,0.0,0.0
2024-06-23,0.49,0.0,0.0
2024-06-24,0.982,306.2,0.0
2024-06-25,0.968,302.02,0.0
2024-06-26,0.984,306.3,0.0
2024-06-27,0.978,314.48,0.0
2024-06-28,0.982,311.64,0.0
2024-06-29,0.918,317.42,0.0
2024-06-30,0.49,0.0,0.0
2024-07-01,0.49,0.0,0.0
2024-07-02,0.964,311.58,0.0
2024-07-03,0.982,315.68,0.0
2024-07-04,0.98,314.7,295.7358925800036
2024-07-05,0.972,303.94,0.0
2024-07-06,0.982,306.46,0.0
2024-07-07,0.49,0.0,0.0
2024-07-08,0.49,0.0,0.0
2024-07-09,0.986,313.12,295.4544621515758
2024-07-16,0.966,308.58,0.0
2024-07-17,0.49,0.0,0.0
2024-07-18,0.49,0.0,0.0
2024-07-19,0.984,310.24,0.0
2024-07-20,0.986,313.74,0.0
2024-07-21,0.984,308.74,0.0
2024-07-22,0.984,305.62,0.0
2024-07-23,0.974,310.9,294.38151336802053
2024-07-29,0.982,313.88,0.0
2024-07-30,0.956,314.24,0.0
2024-07-31,0.986,312.04,0.0
2024-08-01,0.982,309.98,294.4725606102579
2024-08-02,0.98,314.74,0.0
2024-08-03,0.98,322.02,0.0
2024-08-04,0.982,316.24,0.0
2024-08-05,0.982,312.58,0.0
2024-08-06,0.982,312.76,0.0
2024-08-07,0.49,0.0,0.0
2024-08-08,0.98,319.14,0.0
2024-08-09,0.978,316.48,294.60060983192557
2024-08-10,0.978,311.6,0.0
2024-08-11,0.49,0.0,0.0
2024-08-12,0.972,313.0,0.0
2024-08-13,0.49,0.0,0.0
2024-08-14,0.984,317.48,0.0
2024-08-15,0.94,322.06,0.0
2024-08-16,0.49,0.0,0.0
2024-08-17,0.49,0.0,0.0
2024-08-18,0.49,0.0,0.0
2024-08-19,0.49,0.0,0.0
2024-08-20,0.976,320.32,0.0
2024-08-21,0.978,317.06,0.0
2024-08-22,0.984,313.48,0.0
2024-08-23,0.982,314.06,0.0
2024-08-24,0.49,0.0,0.0
2024-08-25,0.98,318.54,295.7358925800036
2024-08-26,0.984,319.84,0.0
2024-08-27,0.49,0.0,0.0
2024-08-28,0.972,305.74,0.0
2024-08-29,0.982,315.02,0.0
2024-08-30,0.49,0.0,295.4544621515758
2024-08-31,0.984,311.34,299.4599451487764
2024-09-01,0.98,316.24,0.0
2024-09-02,0.49,0.0,300.7677189891557
2024-09-03,0.97,311.8,301.8781616701864
2024-09-04,0.49,0.0,293.9788748663506
2024-09-05,0.49,0.0,297.00260452998344
2024-09-06,0.49,0.0,0.0
2024-09-07,0.952,307.96,0.0
2024-09-08,0.49,0.0,0.0
2024-09-09,0.49,0.0,0.0
2024-09-10,0.98,314.94,0.0
2024-09-11,0.49,0.0,0.0
2024-09-12,0.49,0.0,0.0
2024-09-13,0.49,0.0,294.38151336802053
2024-09-14,0.49,0.0,0.0
2024-09-15,0.49,0.0,297.0240059382114
2024-09-16,0.49,0.0,0.0
2024-09-17,0.49,0.0,0.0
2024-09-18,0.974,300.56,0.0
2024-09-19,0.982,304.0,0.0
2024-09-20,0.49,0.0,0.0
2024-09-21,0.49,0.0,0.0
2024-09-22,0.978,309.2,294.4725606102579
2024-09-23,0.966,301.98,0.0
2024-09-24,0.49,0.0,0.0
2024-09-25,0.984,309.54,0.0
2024-09-27,0.49,0.0,0.0
2024-09-28,0.49,0.0,0.0
2024-09-29,0.49,0.0,0.0
2024-09-30,0.976,316.42,294.60060983192557
2024-10-01,0.98,311.64,0.0
2024-10-02,0.978,313.26,0.0
2024-10-03,0.98,309.36,0.0
